日付,code,name,market,33業種コード,sector,17業種コード,17業種区分,規模コード,規模区分,ticker
20260831,6098,リクルートホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,1,TOPIX Core30,6098.T
20260831,6099,エラン,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2,6099.T
20260831,6101,ツガミ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6101.T
20260831,6103,オークマ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6103.T
20260831,6104,芝浦機械,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6104.T
20260831,6113,アマダ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400,6113.T
20260831,6118,アイダエンジニアリング,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6118.T
20260831,6125,岡本工作機械製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-,6125.T
20260831,6134,ＦＵＪＩ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400,6134.T
20260831,6135,牧野フライス製作所,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6135.T
20260831,6136,オーエスジー,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400,6136.T
20260831,6137,小池酸素工業,スタンダード（内国株式）,3600,機械,8,機械,-,-,6137.T
20260831,6138,ダイジェット工業,スタンダード（内国株式）,3600,機械,8,機械,-,-,6138.T
20260831,6140,旭ダイヤモンド工業,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6140.T
20260831,6141,ＤＭＧ森精機,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400,6141.T
20260831,6143,ソディック,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6143.T
20260831,6144,西部電機,スタンダード（内国株式）,3600,機械,8,機械,-,-,6144.T
20260831,6145,ＮＩＴＴＯＫＵ,スタンダード（内国株式）,3600,機械,8,機械,-,-,6145.T
20260831,6146,ディスコ,プライム（内国株式）,3600,機械,8,機械,2,TOPIX Large70,6146.T
20260831,6147,ヤマザキ,スタンダード（内国株式）,3600,機械,8,機械,-,-,6147.T
20260831,6149,小田原エンジニアリング,スタンダード（内国株式）,3600,機械,8,機械,-,-,6149.T
20260831,6150,タケダ機械,スタンダード（内国株式）,3600,機械,8,機械,-,-,6150.T
20260831,6151,日東工器,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6151.T
20260831,6155,高松機械工業,スタンダード（内国株式）,3600,機械,8,機械,-,-,6155.T
20260831,6156,エーワン精密,スタンダード（内国株式）,3600,機械,8,機械,-,-,6156.T
20260831,6157,日進工具,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6157.T
20260831,6158,和井田製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-,6158.T
20260831,6159,ミクロン精密,スタンダード（内国株式）,3600,機械,8,機械,-,-,6159.T
20260831,6161,エスティック,スタンダード（内国株式）,3600,機械,8,機械,-,-,6161.T
20260831,6165,パンチ工業,スタンダード（内国株式）,3600,機械,8,機械,-,-,6165.T
20260831,6166,中村超硬,グロース（内国株式）,3600,機械,8,機械,-,-,6166.T
20260831,6167,冨士ダイス,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6167.T
20260831,6168,ＯＮＥ　ＧＲＯＵＰ,PRO Market,3600,機械,8,機械,-,-,6168.T
20260831,6171,土木管理総合試験所,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6171.T
20260831,6174,デンタス,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-,6174.T
20260831,6176,ブランジスタ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6176.T
20260831,6177,ＡｐｐＢａｎｋ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6177.T
20260831,6178,日本郵政,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,2,TOPIX Large70,6178.T
20260831,6180,ＧＭＯメディア,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6180.T
20260831,6181,タメニー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6181.T
20260831,6182,メタリアル,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6182.T
20260831,6183,ベルシステム２４ホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2,6183.T
20260831,6184,鎌倉新書,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2,6184.T
20260831,6185,ＳＭＮ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6185.T
20260831,6186,一蔵,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6186.T
20260831,6189,グローバルキッズＣＯＭＰＡＮＹ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6189.T
20260831,6190,フェニックスバイオ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6190.T
20260831,6191,エアトリ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2,6191.T
20260831,6193,バーチャレクス・ホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6193.T
20260831,6194,アトラエ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2,6194.T
20260831,6195,ホープ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6195.T
20260831,6196,ストライクグループ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1,6196.T
20260831,6198,キャリア,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6198.T
20260831,6199,セラク,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2,6199.T
20260831,6200,インソース,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1,6200.T
20260831,6203,豊和工業,スタンダード（内国株式）,3600,機械,8,機械,-,-,6203.T
20260831,6208,石川製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-,6208.T
20260831,6209,リケンＮＰＲ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6209.T
20260831,6217,津田駒工業,スタンダード（内国株式）,3600,機械,8,機械,-,-,6217.T
20260831,6218,エンシュウ,スタンダード（内国株式）,3600,機械,8,機械,-,-,6218.T
20260831,6222,島精機製作所,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6222.T
20260831,6223,西部技研,スタンダード（内国株式）,3600,機械,8,機械,-,-,6223.T
20260831,6224,ＪＲＣ,グロース（内国株式）,3600,機械,8,機械,-,-,6224.T
20260831,6226,守谷輸送機工業,スタンダード（内国株式）,3600,機械,8,機械,-,-,6226.T
20260831,6227,ＡＩメカテック,スタンダード（内国株式）,3600,機械,8,機械,-,-,6227.T
20260831,6228,ジェイ・イー・ティ,スタンダード（内国株式）,3600,機械,8,機械,-,-,6228.T
20260831,6229,オーケーエム,スタンダード（内国株式）,3600,機械,8,機械,-,-,6229.T
20260831,6230,ＳＡＮＥＩ,スタンダード（内国株式）,3600,機械,8,機械,-,-,6230.T
20260831,6231,木村工機,スタンダード（内国株式）,3600,機械,8,機械,-,-,6231.T
20260831,6232,ＡＣＳＬ,グロース（内国株式）,3600,機械,8,機械,-,-,6232.T
20260831,6233,ＫＬＡＳＳ,スタンダード（内国株式）,3600,機械,8,機械,-,-,6233.T
20260831,6235,オプトラン,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6235.T
20260831,6237,イワキポンプ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6237.T
20260831,6238,フリュー,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6238.T
20260831,6239,ナガオカ,スタンダード（内国株式）,3600,機械,8,機械,-,-,6239.T
20260831,6240,ヤマシンフィルタ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6240.T
20260831,6245,ヒラノテクシード,スタンダード（内国株式）,3600,機械,8,機械,-,-,6245.T
20260831,6246,テクノスマート,スタンダード（内国株式）,3600,機械,8,機械,-,-,6246.T
20260831,6247,日阪製作所,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6247.T
20260831,6248,横田製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-,6248.T
20260831,6249,ゲームカードホールディングス,スタンダード（内国株式）,3600,機械,8,機械,-,-,6249.T
20260831,6250,やまびこ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6250.T
20260831,6254,野村マイクロ・サイエンス,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6254.T
20260831,6255,エヌ・ピー・シー,グロース（内国株式）,3600,機械,8,機械,-,-,6255.T
20260831,6257,藤商事,スタンダード（内国株式）,3600,機械,8,機械,-,-,6257.T
20260831,6258,平田機工,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6258.T
20260831,6262,ＰＥＧＡＳＵＳ,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6262.T
20260831,6264,マルマエ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6264.T
20260831,6265,コンバム,スタンダード（内国株式）,3600,機械,8,機械,-,-,6265.T
20260831,6266,タツモ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6266.T
20260831,6267,ゼネラルパッカー,スタンダード（内国株式）,3600,機械,8,機械,-,-,6267.T
20260831,6268,ナブテスコ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400,6268.T
20260831,6269,三井海洋開発,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400,6269.T
20260831,6272,レオン自動機,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6272.T
