銘柄コード,銘柄名,現在株価,時価総額(億円),PER,PBR,自己資本比率(%),流動資産,負債合計,投資有価証券,発行済株式数,Netキャッシュ,1株ネットキャッシュ,ネットキャッシュ比率,乖離率(%),欠損項目,エラー
1764.T,工藤建設,2729.0,34.01108992,6.4599357,0.57470214,31.27939481953747,7360307000.0,10671251000.0,289480000.0,1246284.0,-4175433100.0,-3350.3062704808854,-1.2276681093737212,-222.76681093737213,,
1768.T,ソネック,1027.0,75.02612992,5.4884567,0.7302524,66.16625541972896,12636690000.0,5316908000.0,1135738000.0,7305368.0,7583107800.0,1038.0185912605634,1.0107289106724084,1.0728910672408398,,
1762.T,高松コンストラクショングループ,4125.0,1436.26174464,12.562814,0.9752972,46.68227773294274,246602000000.0,167809000000.0,9629000000.0,34818467.0,68752400000.0,1974.595837318168,0.4786898999559195,-52.131010004408054,,
1770.T,藤田エンジニアリング,2105.0,193.32347904,10.503992,0.8685183,64.92125221989606,20792856000.0,11158764000.0,7030743000.0,9184013.0,13439735699.999998,1463.3837844088416,0.6951941968688083,-30.480580313119166,,
1780.T,ヤマウラ,1495.0,276.21443584,8.936578,2.0523987,72.709625141717,28209181000.0,9826582000.0,2606903000.0,18475882.0,19224772900.0,1040.5334316380674,0.6960089843732893,-30.39910156267107,,
1783.T,ｆａｎｔａｓｉｓｔａ,51.0,98.58737152,,1.2749045,69.03493230335734,7511524000.0,2860317000.0,1727050000.0,193308568.0,5574110300.0,28.835298702331706,0.5653980137712099,-43.46019862287901,,
1788.T,三東工業社,4120.0,25.82630144,8.741221,0.68053496,71.0642715341531,3311676000.0,1306993000.0,251498000.0,626852.0,2050032300.0,3270.3609464434985,0.793776928748422,-20.622307125157803,,
1787.T,ナカボーテック,5680.0,139.2743424,11.736992,1.6935104,76.96739908531421,10156640000.0,2802784000.0,742630000.0,2452013.0,7593418600.0,3096.8100903217073,0.5452130440707231,-45.478695592927686,,
1773.T,ワイ・ティー・エル・コーポレーション・バーハッド,91.0,10590.49046016,19.739697,1.4305434,28.676671470748825,28248476000.0,73424854000.0,470877000.0,11637901255.0,-52189249500.0,-4.484421061536151,-0.04927935232457308,-104.92793523245732,,
1786.T,オリエンタル白石,360.0,463.07639296,13.756209,0.8813226,64.260861160779,55845000000.0,29582000000.0,4290000000.0,128632331.0,26307799999.999996,204.51934436296577,0.5681092898971272,-43.189071010287286,,
1793.T,大本組,2088.0,531.06372608,29.239601,1.4861622,66.32745669762681,76039000000.0,34876000000.0,14280000000.0,25434086.0,47671400000.0,1874.3115046477392,0.8976587665937448,-10.23412334062552,,
1799.T,第一建設工業,3280.0,580.79379456,11.185759,2.0273645,86.52246206904243,47472322000.0,11636377000.0,10479964000.0,17707127.0,42008282100.0,2372.394014003514,0.7232908579279006,-27.670914207209947,,
1795.T,マサル,5720.0,50.2039808,12.106588,0.94635206,59.92531822362519,6554839000.0,3529257000.0,165399000.0,877692.0,2788435599.9999995,3177.0092469795777,0.5554211970244017,-44.45788029755983,,
1807.T,佐藤渡辺,1948.0,121.62253824,13.75512,0.55072695,70.15186333432356,17808244000.0,9752182000.0,5072221000.0,6243457.0,10631398500.0,1702.8063939577064,0.8741305923807527,-12.586940761924723,,
1802.T,大林組,3011.0,20698.2610944,12.077333,1.6632658,41.879604218169284,1778543000000.0,1826985000000.0,339322000000.0,687421514.0,6384899999.999756,9.288187625736363,0.00308475178536578,-99.69152482146342,,
1801.T,大成建設,12690.0,20685.85775104,12.376262,2.2166376,36.467554474959016,1637711000000.0,1724620000000.0,466292000000.0,163009119.0,67033399999.999756,411.2248468749761,0.03240542528565611,-96.75945747143439,,
1798.T,守谷商会,1083.0,118.09789952,4.304794,0.62818044,48.94237307687439,29085455000.0,19563345000.0,1593019000.0,10904700.0,8680888800.0,796.0685575944318,0.7350586866061235,-26.494131339387643,,
1808.T,長谷工コーポレーション,2854.0,7559.00547072,13.947124,1.3264208,39.7433491991389,1051966000000.0,854273000000.0,146313000000.0,264856526.0,214684799999.99988,810.5701726224404,0.2840119735888018,-71.59880264111982,,
1803.T,清水建設,2370.5,16089.79185664,12.6900425,1.5862299,37.71778138941569,1612004000000.0,1653208000000.0,303343000000.0,678750992.0,5815299999.999756,8.56764862009919,0.003614279105715752,-99.63857208942842,,
1811.T,錢高組,7680.0,550.0053504,12.936698,0.46568,52.99481741385732,101124000000.0,102217000000.0,89618000000.0,7161528.0,51417899999.99998,7179.738737319742,0.9348618147551747,-6.513818524482532,,
1814.T,大末建設,3605.0,371.14249216,9.861853,1.4513057,42.26391054334523,53053000000.0,34439000000.0,1623000000.0,10295215.0,16306200000.0,1583.8620174517969,0.43935146115167734,-56.06485388483227,,
1822.T,大豊建設,828.0,697.8486272,16.052732,1.013593,49.53239855806853,123718000000.0,78680000000.0,14061000000.0,84281230.0,47012700000.0,557.8074738586515,0.6736805239838787,-32.63194760161214,,
1815.T,鉄建建設,4470.0,622.71131648,12.376101,0.8205339,30.770553365089658,172110000000.0,177163000000.0,26701000000.0,13930902.0,-4078600000.0000305,-292.7735763269335,-0.0654974443684415,-106.54974443684415,,
1820.T,西松建設,5617.0,2217.84047616,9.216658,1.153627,29.798021025871268,390966000000.0,481594000000.0,82092000000.0,39484430.0,-81323000000.00006,-2059.621982639741,-0.3666765146234184,-136.66765146234184,,
1810.T,松井建設,1460.0,416.40456192,9.615385,0.72223485,65.0718303912731,45491000000.0,30610000000.0,20196000000.0,28520861.0,25957199999.999996,910.1127767496218,0.6233649155819327,-37.66350844180673,,
1813.T,不動テトラ,2846.0,431.18874624,9.661869,1.1604822,54.15495728417267,51678000000.0,32627000000.0,3553000000.0,15150694.0,18275400000.0,1206.2417734791554,0.4238375873082064,-57.616241269179355,,
1812.T,鹿島建設,4938.0,22761.79050496,13.003976,1.6639266,39.62703840505074,2181525000000.0,2188122000000.0,478697000000.0,460951595.0,109678700000.0,237.93973421439185,0.04818544637796514,-95.18145536220348,,
1827.T,ナカノフドー建設,1354.0,465.287168,10.615445,0.9329065,50.99272694799718,72099000000.0,49391000000.0,5978000000.0,34363895.0,21953499999.999992,638.8536573051452,0.4718269256315696,-52.817307436843045,,
1835.T,東鉄工業,3975.0,1369.05695232,10.661123,1.0456784,65.72381992543312,148622293000.0,69870439000.0,22164087000.0,34441684.0,87279671000.0,2534.1290222626744,0.6375167351604213,-36.248326483957875,,
1828.T,田辺工業,2496.0,262.03881472,7.587318,0.9429589,59.311313635207995,35644358000.0,19203266000.0,640223000.0,10498350.0,14968921500.0,1425.835631313492,0.5712482497249568,-42.875175027504326,,
1833.T,奥村組,5780.0,2075.3219584,11.299435,1.0811585,43.99338609037649,259572000000.0,246927000000.0,75207000000.0,35905223.0,40597199999.99997,1130.6767263358863,0.19561881078475543,-80.43811892152446,,
1826.T,佐田建設,1093.0,131.6538368,13.660792,1.2108321,44.76964342063742,20179000000.0,14002000000.0,673000000.0,12045182.0,5247899999.999998,435.6845749611752,0.3986135178052838,-60.13864821947161,,
1844.T,大盛工業,474.0,88.7140864,17.038103,1.4375964,47.08465971346082,10870169000.0,6313479000.0,58260000.0,18716051.0,3966124099.999999,211.91030629271094,0.44706815673567707,-55.29318432643229,,
1847.T,イチケン,3410.0,495.02507008,7.7280455,1.2074665,53.762964157128266,68376000000.0,34417000000.0,3180000000.0,14516864.0,32743300000.0,2255.5353552943666,0.6614473182681427,-33.855268173185735,,
1840.T,土屋ホールディングス,259.0,66.75721728,,0.54989505,48.31885515538142,14138699000.0,13948526000.0,1274480000.0,25774988.0,-312543600.0000019,-12.125848516398996,-0.046817947939764466,-104.68179479397645,,
1852.T,淺沼組,897.0,722.27012608,13.965436,1.4929696,42.482399133495804,98578000000.0,67972000000.0,7794000000.0,80520639.0,29264600000.0,363.4422225586163,0.4051752759850795,-59.482472401492046,,
1848.T,富士ピー・エス,765.0,135.13604096,13.604837,1.0190842,36.902254794597475,25434000000.0,22471000000.0,174000000.0,17664842.0,837699999.9999962,47.42187900689948,0.061989384322744416,-93.80106156772555,,
1860.T,戸田建設,1515.0,4485.00301824,12.285112,0.9317395,40.380348938650776,479351000000.0,595242000000.0,220780000000.0,296039793.0,-20869200000.0,-70.49457705842944,-0.046531073965960026,-104.65310739659601,,
1853.T,森組,326.0,106.76401152,11.519435,3.637865,61.491374513077346,22280000000.0,9688000000.0,771000000.0,32749698.0,12162900000.0,371.3896842651801,1.1392321603226383,13.923216032263838,,
1861.T,熊谷組,1291.0,2193.91410176,11.037962,1.1927332,41.84839993049956,337919000000.0,261053000000.0,49226000000.0,169939127.0,85218900000.0,501.4672106677352,0.3884331608580443,-61.156683914195575,,
1866.T,北野建設,1160.0,282.11984384,8.084187,0.5312292,64.91846134694386,43748000000.0,28181000000.0,13349000000.0,24320676.0,22093199999.999996,908.4122497252953,0.7831140083838752,-21.688599161612476,,
1850.T,南海辰村建設,436.0,122.20008448,6.006337,0.6289244,56.16465691724394,31013000000.0,15377000000.0,1315000000.0,28027542.0,15018799999.999998,535.8586207809446,1.2290335339012493,22.90335339012492,,
1867.T,植木組,2722.0,178.97609216,7.429445,0.5676375,56.46888271481873,36751226000.0,24524930000.0,3796746000.0,6575169.0,12431525199.999996,1890.6776692735953,0.6945913553540026,-30.540864464599732,,
1870.T,矢作建設工業,2137.0,922.79283712,10.857636,1.2152561,51.47566740258157,114051000000.0,71652000000.0,7081000000.0,43181694.0,40190500000.0,930.7300450047189,0.43553113945003225,-56.44688605499677,,
1873.T,日本ハウスホールディングス,324.0,129.59414272,9.671641,0.5688442,51.78112458853767,14156000000.0,21387000000.0,586000000.0,39998190.0,-8959500000.0,-223.99763589302415,-0.6913507280648894,-169.13507280648895,,
1882.T,東亜道路工業,1609.0,743.4801152,21.693407,1.4482905,62.21059649043513,56296000000.0,33444000000.0,4860000000.0,46207588.0,22909600000.0,495.7973569189545,0.30814006023552176,-69.18599397644783,,
1879.T,新日本建設,2273.0,1329.46649088,8.733574,0.9816115,72.61192902167343,170623000000.0,50749000000.0,1972000000.0,58489508.0,116179500000.0,1986.3306082178021,0.8738806019435997,-12.611939805640029,,
1871.T,ピーエス・コンストラクション,2185.0,1023.00491776,10.965022,1.5915066,45.96459456424079,113648000000.0,76981000000.0,5881000000.0,46819446.0,33085600000.0,706.6636371562363,0.3234158522454171,-67.6584147754583,,
1878.T,大東建託,3311.0,10782.87794176,11.074319,2.182672,36.31409679839591,883594000000.0,870906000000.0,48155000000.0,325668330.0,-40694100000.00012,-124.95565657244019,-0.03773955196993059,-103.77395519699306,,
1887.T,日本国土開発,551.0,439.6828672,8.064988,0.6175752,45.19259376483621,129792000000.0,86582000000.0,9687000000.0,79797254.0,41332699999.999985,517.9714580153345,0.940057092586814,-5.994290741318599,,
